# Etude d'un circuit RC en régime libre.
#
# On a pris une résistance R = 100kOhm
# Les valeurs de tension uc ne correspondent pas à une tension mais à son codage binaire.
# Ses valeurs sont entre 0 et 1023. 0 correspond à une tension de 0V et 1023 à une tension de 5V.
#
t(microsecondes), uc(binaire)
9.50e+04;2
9.53e+04;3
9.57e+04;4
9.60e+04;2
9.64e+04;3
9.67e+04;4
9.70e+04;3
9.74e+04;2
9.77e+04;1
9.81e+04;2
9.84e+04;2
9.87e+04;1
9.91e+04;3
9.94e+04;2
9.98e+04;3
1.00e+05;2
