# Etude du changement d'état du SF6
#
# L'expérience mesure les données thermodynamiques du gaz (T, P, V)
# L'état du système (Gazeux, Liquide, Liquide-Gaz, Supercritique)
# a été repéré en même temps que les données thermodynamiques.
#
Temperature(C),Pression(bar), Volume(cm3), Etat(0:G,1:LG,2:L,3:S)
40.0,10,3.15,0
40.0,10.5,3,0
40.0,11,2.95,0
40.0,11.5,2.7,0
40.0,12,2.6,0
40.0,12.5,2.45,0
40.0,13,2.35,0
40.0,13.5,2.25,0
40.0,14,2.15,0
40.0,14.5,2.1,0
40.0,15,2,0
40.0,15.5,1.9,0
40.0,16,1.825,0
40.0,16.5,1.75,0
40.0,17,1.7,0
40.0,17.5,1.65,0
40.0,18,1.575,0
40.0,18.5,1.5,0
40.0,19.25,1.45,0
40.0,20,1.35,0
40.0,20.75,1.3,0
40.0,21.5,1.25,0
40.0,22,1.2,0
40.0,22.5,1.15,0
40.0,23.25,1.1,0
40.0,24,1.05,0
40.0,24.75,1,0
40.0,25.5,0.95,0
40.0,26.25,0.9,0
40.0,27.25,0.85,0
40.0,28.25,0.8,0
40.0,29,0.75,0
40.0,30,0.7,0
40.0,31,0.65,0
40.0,32,0.6,0
40.0,32.75,0.55,0
40.0,33.5,0.5,1
40.0,33.5,0.4,1
40.0,33.5,0.35,1
40.0,33.75,0.3,1
40.0,34,0.25,1
40.0,35,0.2,1
40.0,38,0.15,1
45.6,8.5,3.95,3
45.6,9,3.65,3
45.6,9.5,3.45,3
45.6,10,3.25,3
45.6,10.5,3.1,3
45.6,11,2.95,3
45.6,11.5,2.8,3
45.6,12,2.65,3
45.6,12.5,2.5,3
45.6,13,2.4,3
45.6,13.5,2.3,3
45.6,14,2.2,3
45.6,14.5,2.1,3
45.6,15,2,3
45.6,15.5,1.95,3
45.6,16,1.875,3
45.6,16.5,1.8,3
45.6,17,1.75,3
45.6,17.5,1.7,3
45.6,18,1.6,3
45.6,18.5,1.55,3
45.6,19,1.5,3
45.6,19.75,1.45,3
45.6,20.25,1.4,3
45.6,20.75,1.35,3
45.6,21.5,1.3,3
45.6,22,1.25,3
45.6,22.75,1.2,3
45.6,23.25,1.15,3
45.6,24,1.1,3
45.6,24.75,1.05,3
45.6,25.5,1,3
45.6,26.5,0.95,3
45.6,27.5,0.9,3
45.6,28.5,0.85,3
45.6,29.5,0.8,3
45.6,30.25,0.75,3
45.6,31.5,0.7,3
45.6,32.5,0.65,3
45.6,33.5,0.6,3
45.6,35,0.55,3
45.6,35.75,0.5,3
45.6,36.75,0.45,3
45.6,37.5,0.4,3
45.6,38,0.35,3
45.6,38.5,0.3,3
45.6,38.5,0.25,3
45.6,39.75,0.2,3
45.6,44,.175,3
